question,human_answer,HOS  without examples,HOS  base,HOS  fine-tuned,grade_without_examples,grade_base,grade_fine_tuned
"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",¡Hola! Soy House of Spencer. Puedes agendar una clase de entrenamiento funcional a través de la app BoxMagic o en este enlace: https://auth.boxmagic.cl/. También puedes probar una clase gratuita en: https://boxmagic.cl/sp/HouseofSpencer24. ¡Espero verte pronto! 💪,"¡Hola! 😊 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si eres nuevo, agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumna/o, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. Si necesitas más ayuda, dime.",5,5,5
"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",¡Hola! Soy House of Spencer. Puedes agendar tu clase de entrenamiento funcional a través de la app BoxMagic o en este enlace: https://auth.boxmagic.cl/. También ofrecemos una clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Te gustaría más información?,"¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",¡Hola! 💪 Agenda tu clase descargando la app BoxMagic o visitando https://auth.boxmagic.cl/. 📲 También puedes apuntar aquí para una clase de prueba gratuita: https://boxmagic.cl/sp/HouseofSpencer24. ¿Te ayudo con algo más?,5,5,5
"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",¡Hola! Soy House of Spencer. Puedes agendar una clase de entrenamiento funcional a través de la app BoxMagic o en https://auth.boxmagic.cl/. También puedes probar una clase gratis en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¡Espero verte pronto!,"¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic en https://auth.boxmagic.cl/. Si aún no eres alumno, agenda tu clase de prueba gratuita en 📲 https://boxmagic.cl/sp/HouseofSpencer24. Si necesitas ayuda con algo más, no dudes en preguntar.",5,5,5
"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! Soy House of Spencer. Puedes agendar una clase de entrenamiento funcional a través de la app BoxMagic o en este enlace: https://auth.boxmagic.cl/. Si necesitas más ayuda, dime. 😊","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Agenda tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si eres nuevo, puedes agendar tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",4,5,5
¿Cuánto cuestan las sesiones?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️‍♀️ Los planes duran 2 meses. ¿Te gustaría más información?,"¡Hola! Soy House of Spencer. Aquí tienes los precios de las sesiones de entrenamiento funcional:\n\n- 4 sesiones: $50.000 CLP (1 mes)\n- 8 sesiones: $95.000 CLP (1 mes)\n- 10 sesiones: $120.000 CLP (2 meses)\n- 12 sesiones: $138.000 CLP (1 mes)\n- 20 sesiones: $220.000 CLP (2 meses)\n\nLas sesiones de kinesiología, 10 sesiones, cuestan $200.000 CLP (2 meses). Si tienes orden médica, son reembolsables.","¡Hola! 💪 Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. Todos los planes son de 2 meses. Si necesitas más información, ¡házmelo saber!","Ofrecemos 10 sesiones por $120,000 CLP y 20 sesiones por $220,000 CLP. Todos los planes tienen 2 meses de duración. 💪 ¿Te gustaría más detalles?",5,5,5
¿Cuánto cuestan las sesiones?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️‍♀️ Los planes duran 2 meses. ¿Te gustaría más información?,"¡Hola! Soy House of Spencer. Aquí tienes los precios de nuestras clases de entrenamiento funcional: \n\n- 10 sesiones: $120.000 CLP \n- 20 sesiones: $220.000 CLP \n- 4 sesiones: $50.000 CLP \n- 8 sesiones: $95.000 CLP  \n- 12 sesiones: $138.000 CLP  \n\nLas sesiones de Kinesiología personalizada (10 sesiones) son $200.000 CLP. Puedes reembolsar con orden médica.  Si necesitas más información, estoy aquí para ayudarte. 😊",¡Hola! 😊 Las sesiones de entrenamiento funcional tienen los siguientes precios:\n\n- 10 sesiones: $120.000 CLP\n- 20 sesiones: $220.000 CLP\n- 4 sesiones: $50.000 CLP\n- 8 sesiones: $95.000 CLP\n- 12 sesiones: $138.000 CLP\n\nLos planes duran 1 o 2 meses. ¿Te gustaría más información? 🏋️\u200d♀️,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♂️ Los planes duran 2 meses. ¿Te gustaría más información?,5,5,5
¿Cuánto cuestan las sesiones?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️‍♀️ Los planes duran 2 meses. ¿Te gustaría más información?,"¡Hola! Soy de House of Spencer. Aquí están los precios de las sesiones:\n\n**Clases de Entrenamiento Funcional:**\n- 10 sesiones: $120,000 CLP\n- 20 sesiones: $220,000 CLP\n- 4 sesiones: $50,000 CLP\n- 8 sesiones: $95,000 CLP\n- 12 sesiones: $138,000 CLP\n\n**Sesiones de Kinesiología (10 sesiones):** $200,000 CLP (reembolsable con orden médica).\n\nSi necesitas más información, ¡házmelo saber!",¡Hola! 💪 Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♀️ Los planes son de 2 meses. ¿Te gustaría más información?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♀️ Los planes duran 2 meses. ¿Te gustaría más información?,5,5,5
¿Cuánto cuestan las sesiones?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️‍♀️ Los planes duran 2 meses. ¿Te gustaría más información?,"¡Hola! Soy House of Spencer. Las sesiones tienen los siguientes precios:\n\n- 10 sesiones: $120.000 CLP\n- 20 sesiones: $220.000 CLP\n- 4 sesiones: $50.000 CLP\n- 8 sesiones: $95.000 CLP\n- 12 sesiones: $138.000 CLP\n\nLas sesiones de kinesiología (10 sesiones) son $200.000 CLP. Si tienes una orden médica, son reembolsables. ¿Necesitas más información?",¡Hola! 😊 Las clases cuestan lo siguiente:\n\n- 10 sesiones: $120.000 CLP\n- 20 sesiones: $220.000 CLP\n- 4 sesiones: $50.000 CLP\n- 8 sesiones: $95.000 CLP\n- 12 sesiones: $138.000 CLP\n\nLas sesiones son por 1 o 2 meses. ¿Te gustaría más información? 🏋️\u200d♀️,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♀️ Los planes duran 2 meses. ¿Te gustaría más información?,5,5,5
¿Puedo cancelar una clase sin perderla?,"Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","¡Hola! Soy House of Spencer. Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. Si tienes más dudas, estaré encantado de ayudarte.","¡Hola! 😊 Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ¿Necesitas ayuda con algo más? ⏰",5,5,5
¿Puedo cancelar una clase sin perderla?,"Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","¡Hola! Soy House of Spencer. Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. Si necesitas más información, aquí estoy para ayudarte.","¡Hola! 😊 Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?",5,5,5
¿Puedo cancelar una clase sin perderla?,"Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","¡Hola! Soy House of Spencer. Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. Si necesitas más información, escríbeme. 😊","¡Hola! 😊 Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ¿Te puedo ayudar con algo más?","Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?",5,5,5
¿Puedo cancelar una clase sin perderla?,"Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","¡Hola! Soy House of Spencer. Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. Si tienes más dudas, aquí estoy para ayudarte. 😊","¡Hola! 😊 Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?",5,5,5
¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","¡Hola! Soy House of Spencer. Nuestros horarios son:\n\n**Lunes a Viernes:**\n- Mañana: 6:00, 6:30, 7:30, 8:30\n- Mediodía: 10:00, 11:00, 12:00, 13:00\n- Tarde: 18:00, 19:00, 20:00\n\n**Sábado:**\n- Mañana: 10:00, 11:00\n\n¿Te gustaría agendar una clase de prueba gratuita?","¡Hola! 😊 Estos son nuestros horarios de clases:\n\n**Lunes a Viernes:**\n- Mañana: 6:00, 6:30, 7:30, 8:30\n- Mediodía: 10:00, 11:00, 12:00, 13:00\n- Tarde: 18:00, 19:00, 20:00\n\n**Sábado:**\n- Mañana: 10:00, 11:00\n\n¿Te gustaría agendar una clase?","Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Necesitas los horarios específicos?",5,5,4
¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","¡Hola! Soy House of Spencer. Ofrecemos los siguientes horarios para clases de entrenamiento funcional:\n\n**Lunes a Viernes:**\n- Mañana: 6:00, 6:30, 7:30, 8:30\n- Mediodía: 10:00, 11:00, 12:00, 13:00\n- Tarde: 18:00, 19:00, 20:00\n\n**Sábado:**\n- Mañana: 10:00, 11:00\n\n¿Te gustaría agendar una clase? 🏋️\u200d♂️","¡Hola! 😊 En House of Spencer, tenemos los siguientes horarios:\n\n**Lunes a Viernes:**\n- Mañana: 6:00, 6:30, 7:30, 8:30\n- Mediodía: 10:00, 11:00, 12:00, 13:00\n- Tarde: 18:00, 19:00, 20:00\n\n**Sábado:**\n- Mañana: 10:00, 11:00 \n\n¿Te gustaría más información o agendar una clase?","Tenemos clases de lunes a viernes por la mañana, mediodía y tarde, y los sábados por la mañana. 📅 ¿Te gustaría saber los horarios específicos?",5,5,5
