type,model_column,grade,question,human_response,machine_response
best,grade_without_examples,5.0,¿Cómo puedo pagar por un masaje o una consulta de nutrición?,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?","¡Hola! Soy House of Spencer. Puedes pagar tus masajes o consultas de nutrición a través de AgendaPro. Solo ingresa a: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. ¡Si necesitas más ayuda, avísame! 😊"
best,grade_without_examples,5.0,¿Cómo puedo pagar por un masaje o una consulta de nutrición?,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?","¡Hola! Soy de House of Spencer. Puedes pagar por masajes y consultas de nutrición a través de AgendaPro. Te dejo el enlace: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si necesitas más ayuda, házmelo saber. 😊"
best,grade_without_examples,5.0,¿Cómo puedo pagar por un masaje o una consulta de nutrición?,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?","¡Hola! Soy House of Spencer. Puedes pagar por masajes o consultas de nutrición a través de AgendaPro. Solo visita: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si tienes más dudas, ¡pregunta! 😊"
worst,grade_without_examples,1.0,¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy House of Spencer. Sí, puedes obtener un reembolso por las sesiones si tienes una orden médica. ¿Necesitas más información?"
worst,grade_without_examples,1.0,¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy House of Spencer. Sí, las sesiones son reembolsables con orden médica. Si tienes más dudas, no dudes en preguntar. 😊"
worst,grade_without_examples,1.0,¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy de House of Spencer. Sí, las sesiones son reembolsables con orden médica. Si necesitas más información, no dudes en preguntar. 😊"
best,grade_base,5.0,"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?"
best,grade_base,5.0,"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 😊 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?"
best,grade_base,5.0,"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?"
worst,grade_base,4.0,¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","¡Hola! 😊 Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?"
