question,human_response,House of Spencer_without examples,House of Spencer_base,House of Spencer_fine-tuned_without_examples,House of Spencer_fine-tuned_with_examples,grade_without_examples,grade_base,grade_fine-tuned_whithout_examples,grade_fine-tuned_with_examples
"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",¡Hola! Soy House of Spencer. Puedes agendar tu clase de entrenamiento funcional a través de la app BoxMagic o en este enlace: https://auth.boxmagic.cl/. También te ofrezco una clase de prueba gratuita en: https://boxmagic.cl/sp/HouseofSpencer24. ¡Espero verte pronto! 💪,"¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase de entrenamiento funcional a través de la app BoxMagic o en https://auth.boxmagic.cl/. 📲 Si aún no eres parte de nuestra comunidad, agenda tu clase de prueba gratuita aquí: https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",4,5,4,5
"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! Soy House of Spencer. Para agendar una clase de entrenamiento funcional, puedes usar la app BoxMagic o visitar https://auth.boxmagic.cl/. También puedes agendar una prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¡Te esperamos! 💪","¡Hola! 😊 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. 📲 Si no eres alumno, agenda tu clase de prueba gratuita en: https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",4,5,4,5
"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",¡Hola! Soy House of Spencer. Puedes agendar tu clase de entrenamiento funcional a través de la app BoxMagic o en este enlace: https://auth.boxmagic.cl/. También puedes solicitar una clase de prueba gratuita en: https://boxmagic.cl/sp/HouseofSpencer24. ¡Te esperamos! 💪,"¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Para agendar una clase de entrenamiento funcional, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 Una vez registrada, busca nuestro centro y podrás agendar tus clases de forma rápida y sencilla. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",4,5,4,5
"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",¡Hola! Soy House of Spencer. Puedes agendar tu clase de entrenamiento funcional a través de la app BoxMagic o en https://auth.boxmagic.cl/. También puedes probar una clase gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¡Te esperamos! 💪,"¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar tus clases de entrenamiento funcional. Si necesitas ayuda, estoy aquí para asistirte.","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?",4,5,4,5
¿Cuánto cuestan las sesiones?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️‍♀️ Los planes duran 2 meses. ¿Te gustaría más información?,"¡Hola! Soy House of Spencer. Aquí tienes los precios de nuestras clases:\n\n- 4 sesiones: $50.000 CLP (1 mes)\n- 8 sesiones: $95.000 CLP (1 mes)\n- 12 sesiones: $138.000 CLP (1 mes)\n- 10 sesiones: $120.000 CLP (2 meses)\n- 20 sesiones: $220.000 CLP (2 meses)\n\nLas sesiones de kinesiología personalizada (10 sesiones) son $200.000 CLP. Si tienes orden médica, son reembolsables.",¡Hola! 😊 Las clases cuestan: \n\n- 10 sesiones: $120.000 CLP (2 meses)\n- 20 sesiones: $220.000 CLP (2 meses)\n- 4 sesiones: $50.000 CLP (1 mes)\n- 8 sesiones: $95.000 CLP (1 mes)\n- 12 sesiones: $138.000 CLP (1 mes) \n\n¿Te gustaría más información? 🏋️\u200d♀️,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♂️ Los planes duran 2 meses. ¿Te gustaría más información?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♀️ Los planes duran 2 meses. ¿Te gustaría más información?,4,5,4,5
¿Cuánto cuestan las sesiones?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️‍♀️ Los planes duran 2 meses. ¿Te gustaría más información?,"¡Hola! Soy House of Spencer. Aquí están los precios de nuestras clases:\n\n- 10 sesiones: $120.000 CLP (2 meses)\n- 20 sesiones: $220.000 CLP (2 meses)\n- 4 sesiones: $50.000 CLP (1 mes)\n- 8 sesiones: $95.000 CLP (1 mes)\n- 12 sesiones: $138.000 CLP (1 mes)\n\nLas sesiones de kinesiología personalizada (10 sesiones) son $200.000 CLP (2 meses). ¡Si tienes más preguntas, aquí estoy! 😊",¡Hola! 😊 Las sesiones de entrenamiento funcional cuestan: \n\n- 10 sesiones: $120.000 CLP\n- 20 sesiones: $220.000 CLP\n- 4 sesiones: $50.000 CLP\n- 8 sesiones: $95.000 CLP\n- 12 sesiones: $138.000 CLP\n\n¿Te gustaría más información? 🏋️\u200d♂️,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♀️ Los planes duran 2 meses. ¿Te gustaría más información?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♀️ Los planes duran 2 meses. ¿Te gustaría más información?,4,5,4,5
¿Cuánto cuestan las sesiones?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️‍♀️ Los planes duran 2 meses. ¿Te gustaría más información?,¡Hola! Soy House of Spencer. Aquí tienes los precios de las clases:\n\n- 4 sesiones: $50.000 CLP\n- 8 sesiones: $95.000 CLP\n- 10 sesiones: $120.000 CLP\n- 12 sesiones: $138.000 CLP\n- 20 sesiones: $220.000 CLP\n\nLas sesiones de kinesiología (10 sesiones) son $200.000 CLP. Recuerda que son reembolsables con orden médica.,¡Hola! 😊 Las sesiones de entrenamiento funcional cuestan: \n\n- 10 sesiones: $120.000 CLP\n- 20 sesiones: $220.000 CLP\n- 4 sesiones: $50.000 CLP\n- 8 sesiones: $95.000 CLP\n- 12 sesiones: $138.000 CLP\n\n¿Te gustaría más información? 🏋️\u200d♀️,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 💪 Los planes duran 2 meses. ¿Te gustaría más información?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♀️ Los planes duran 2 meses. ¿Te gustaría más información?,4,5,4,4
¿Cuánto cuestan las sesiones?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️‍♀️ Los planes duran 2 meses. ¿Te gustaría más información?,"¡Hola! Soy House of Spencer. Aquí tienes los precios de nuestras clases:\n\n- 4 sesiones: $50.000 CLP (1 mes)\n- 8 sesiones: $95.000 CLP (1 mes)\n- 12 sesiones: $138.000 CLP (1 mes)\n- 10 sesiones: $120.000 CLP (2 meses)\n- 20 sesiones: $220.000 CLP (2 meses)\n\nLas sesiones de kinesiología personalizada (10 sesiones) cuestan $200.000 CLP. Si tienes una orden médica, son reembolsables.",¡Hola! 😊 Las sesiones tienen los siguientes precios: \n\n- 10 sesiones: $120.000 CLP (2 meses)\n- 20 sesiones: $220.000 CLP (2 meses)\n- 4 sesiones: $50.000 CLP (1 mes)\n- 8 sesiones: $95.000 CLP (1 mes)\n- 12 sesiones: $138.000 CLP (1 mes)\n\n¿Te gustaría más información? 🏋️\u200d♀️,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. Los planes duran 2 meses. 🗓️ ¿Te gustaría más información?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♀️ Los planes duran 2 meses. ¿Te gustaría más información?,4,5,4,5
¿Puedo cancelar una clase sin perderla?,"Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","¡Hola! Soy House of Spencer. Sí, puedes cancelar tu clase hasta 12 horas antes sin perderla. Si tienes más dudas, estoy aquí para ayudarte.","¡Hola! 😊 Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?",4,5,4,5
¿Puedo cancelar una clase sin perderla?,"Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","¡Hola! Soy House of Spencer. Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. Si tienes más dudas, ¡pregunta! 😊","¡Hola! 😊 Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?",4,5,4,5
